"TYGS ID","Kind","Species cluster","Subspecies cluster","Preferred name","Deposit","Authority","Other deposits","Synonymous taxon names","Base pairs","Percent G+C","No. proteins","Goldstamp","Bioproject accession","Biosample accession","Assembly accession","IMG OID","BacDive"
"10308","type strain","1","0","Azospirillum oryzae","COC8T","Xie and Yokota 2005","JCM 21588; NBRC 102291; CCTCC AB 204051; IAM 15130","Azospirillum oryzae","6,749,884","67.37","5859","","PRJNA563036","SAMN12661881","GCA_008364795","","strain page"
"10310","type strain","2","1","Azospirillum lipoferum","VKM B-1519.","(Beijerinck 1925) Tarrand et al. 1979","LMG 13128; NRRL B-14654; NCIMB 11861; ATCC 29707; DSM 1691; JCM 1247; NBRC 102290; CIP 106280; NCAIM B.01801; sp. 59b","Azospirillum lipoferum; Spirillum lipoferum","7,979,458","67.28","6903","","PRJNA563039","SAMN12661906","GCA_008364955","","strain page"
"126404","type strain","3","2","'Azospirillum oleiclasticum'","RWY-5-1-1T","Wu et al. 2020","KCTC 72259; CGMCC 1.13426T","Azospirillum oleiclasticum","7,778,031","69.56","7185","","PRJNA224116","SAMN14851918","GCF_013423485","","species page"
"143761","type strain","4","3","Azospirillum picis","DSM 19922","Lin et al. 2009","CCUG 55431; IMMIB TAR-3","Azospirillum picis","7,011,626","68.76","6303","Gp0538732","","","","2928263341","strain page"
"15023","type strain","5","4","Azospirillum palustre","B2","Tikhonova et al. 2019","KCTC 62613; VKM B-3233","Azospirillum palustre","7,989,338","67.84","6821","Gp0253205","PRJNA414085","SAMN07776893","GCA_002573965","","species page"
"15432","type strain","6","5","Azospirillum ramasamyi","KACC 14063","Anandham et al. 2019","NBRC 106460; M2T2B2","Azospirillum ramasamyi","6,316,263","67.99","5337","Gp0443122","PRJNA474386","SAMN09302594","GCA_003233655","","species page"
"158208","type strain","7","6","Azospirillum agricola","CC-HIH038","Lin et al. 2016","BCRC 80909; JCM 30827","Azospirillum agricola","7,597,657","69.74","6777","Gp0502503","PRJNA710668","SAMN18247811","GCA_017876095","","strain page"
"17161","type strain","8","7","Azospirillum griseum","L-25-5w-1","Yang et al. 2019","KCTC 62777; CGMCC 1.13672","Azospirillum griseum","5,925,600","66.61","5164","","PRJNA509942","SAMN10587723","GCA_003966125","","species page"
"3466","type strain","9","8","Azospirillum humicireducens","CCTCC AB 2012021","Zhou et al. 2013","KACC 16605; SgZ-5","Azospirillum humicireducens","3,181,617","67.45","2833","Gp0150267","PRJNA318554","SAMN04858219","GCA_001639105","","strain page"
"3655","type strain","10","9","Azospirillum thiophilum","BV-s","Lavrinenko et al. 2010 emend. Hördt et al. 2020","DSM 21654; VKM B-2513","Azospirillum thiophilum","7,609,458","68.16","6191","Gp0124194","PRJNA292868","SAMN03993951","GCA_001305595","","strain page"
"4645","type strain","11","10","Azospirillum melinis","TMCY 0552","Peng et al. 2006","LMG 23364; LMG 24250; DSM 17798; CGMCC 1.5340; CCBAU 5106001","Azospirillum melinis","7,963,236","67.71","6920","","PRJNA577426","SAMN13025581","GCA_013340935","","strain page"
"23964","type strain","12","11","Azospirillum doebereinerae","DSM 13131","Eckert et al. 2001","KCTC 12904; DSM 13131; GSF71","Azospirillum doebereinerae","6,985,304","68.89","6248","Gp0401065","PRJNA546764","SAMN12025068","","2828314363","strain page"
"6848","type strain","12","11","Azospirillum doebereinerae","GSF71","Eckert et al. 2001","KCTC 12904; DSM 13131; GSF71","Azospirillum doebereinerae","6,988,300","68.89","6031","","PRJNA509943","SAMN10587691","GCA_003989665","","strain page"
"U209012","user strain","13","12","11R-gbRAST","","","","","7,867,320","67.81","6903","","","","","",""
