"Query strain","Subject strain","dDDH (d0, in %)","C.I. (d0, in %)","dDDH (d4, in %)","C.I. (d4, in %)","dDDH (d6, in %)","C.I. (d6, in %)","G+C content difference (in %)"
"'Azospirillum'","Azospirillum palustre B2","82.3","[78.4 - 85.6]","65.2","[62.3 - 68.0]","81.9","[78.5 - 84.8]","0.03"
"'Azospirillum'","Azospirillum melinis TMCY 0552","81.0","[77.0 - 84.3]","62.0","[59.2 - 64.8]","80.0","[76.6 - 83.0]","0.1"
"'Azospirillum'","Azospirillum lipoferum VKM B-1519.","63.0","[59.3 - 66.6]","41.5","[39.0 - 44.1]","58.7","[55.5 - 61.9]","0.53"
"'Azospirillum'","Azospirillum oryzae COC8T","54.8","[51.3 - 58.3]","38.5","[36.0 - 41.0]","51.1","[48.0 - 54.2]","0.44"
"'Azospirillum'","Azospirillum humicireducens CCTCC AB 2012021","32.3","[28.9 - 35.9]","34.7","[32.3 - 37.2]","31.5","[28.6 - 34.6]","0.35"
"'Azospirillum'","Azospirillum ramasamyi KACC 14063","52.3","[48.8 - 55.7]","34.1","[31.6 - 36.6]","47.5","[44.5 - 50.6]","0.18"
"'Azospirillum'","Azospirillum thiophilum BV-s","52.9","[49.4 - 56.3]","31.4","[29.0 - 33.9]","46.9","[43.9 - 49.9]","0.35"
"'Azospirillum'","Azospirillum picis DSM 19922","39.7","[36.3 - 43.1]","28.3","[25.9 - 30.8]","36.0","[33.0 - 39.0]","0.95"
"'Azospirillum'","Azospirillum agricola CC-HIH038","33.6","[30.2 - 37.1]","25.7","[23.4 - 28.2]","30.6","[27.7 - 33.7]","1.94"
"'Azospirillum'","Azospirillum doebereinerae DSM 13131","33.1","[29.7 - 36.7]","25.4","[23.0 - 27.8]","30.2","[27.3 - 33.3]","1.08"
"'Azospirillum'","Azospirillum doebereinerae GSF71","33.0","[29.7 - 36.6]","25.4","[23.0 - 27.8]","30.2","[27.2 - 33.3]","1.08"
"'Azospirillum'","Azospirillum griseum L-25-5w-1","23.5","[20.2 - 27.2]","23.6","[21.3 - 26.1]","22.5","[19.7 - 25.6]","1.2"
"'Azospirillum'","Azospirillum oleiclasticum RWY-5-1-1T","18.1","[15.1 - 21.7]","21.2","[19.0 - 23.7]","17.8","[15.2 - 20.8]","1.75"
